ticker,yearReport,lengthReport,category,data
HPG,2019,4,Profit before tax,2284996658014.0
HPG,2019,4,Tax For the Year,-361624747112.0
HPG,2019,4,Business income tax - current,-371428377293.0
HPG,2019,4,Business income tax - deferred,9803630181.0
HPG,2019,4,Net Profit For the Year,1923371910902.0
HPG,2019,4,Attributable to parent company,1917005836995.0
HPG,2019,4,EPS_basis,0.0
HPG,2019,3,Minority Interest,0.0
HPG,2019,3,Net Profit/Loss before tax,2160914730482.0
HPG,2019,3,Provision for credit losses,2445513914.0
HPG,2019,3,Revenue YoY (%),0.06641996114235617
HPG,2019,3,Revenue (Bn. VND),15349518976186.0
HPG,2019,3,Attribute to parent company (Bn. VND),1754755716941.0
HPG,2019,3,Attribute to parent company YoY (%),-0.26944610594021356
HPG,2019,3,Financial Income,138550988697.0
HPG,2019,3,Interest Expenses,-265895204863.0
HPG,2019,3,Net Sales,15087031400142.0
HPG,2019,3,Gross Profit,2701973588277.0
HPG,2019,3,Financial Expenses,-328517389602.0
HPG,2019,3,General & Admin Expenses,-150483484286.0
HPG,2019,3,Operating Profit/Loss,2135013227140.0
HPG,2019,3,Net income from associated companies,0.0
HPG,2019,3,Other Income/Expenses,-153366194692.0
HPG,2019,3,Cost of Sales,-12385057811865.0
HPG,2019,3,Selling Expenses,-226510475946.0
HPG,2019,3,Sales,15349518976186.0
HPG,2019,3,Sales deductions,-262487576044.0
HPG,2019,3,Gain/(loss) from joint ventures,0.0
HPG,2019,3,Other income,179267698034.0
HPG,2019,3,Net other income/expenses,25901503342.0
HPG,2019,3,Profit before tax,2160914730482.0
HPG,2019,3,Tax For the Year,-366501765446.0
HPG,2019,3,Business income tax - current,-397723133076.0
HPG,2019,3,Business income tax - deferred,31221367630.0
HPG,2019,3,Net Profit For the Year,1794412965036.0
HPG,2019,3,Attributable to parent company,1754755716941.0
HPG,2019,3,EPS_basis,0.0
HPG,2019,2,Minority Interest,0.0
HPG,2019,2,Net Profit/Loss before tax,2479812592590.0
HPG,2019,2,Provision for credit losses,2877014108.0
HPG,2019,2,Revenue YoY (%),0.09932824170052729
HPG,2019,2,Revenue (Bn. VND),15866325943282.0
HPG,2019,2,Attribute to parent company (Bn. VND),2035194136815.0
HPG,2019,2,Attribute to parent company YoY (%),-0.07305235212733484
HPG,2019,2,Financial Income,118366315936.0
HPG,2019,2,Interest Expenses,-215389146860.0
HPG,2019,2,Net Sales,15632607596348.0
HPG,2019,2,Gross Profit,3026803973804.0
HPG,2019,2,Financial Expenses,-300320193488.0
HPG,2019,2,General & Admin Expenses,-105833495534.0
HPG,2019,2,Operating Profit/Loss,2469554025253.0
HPG,2019,2,Net income from associated companies,0.0
HPG,2019,2,Other Income/Expenses,-149546892759.0
HPG,2019,2,Cost of Sales,-12605803622544.0
HPG,2019,2,Selling Expenses,-269462575465.0
HPG,2019,2,Sales,15866325943282.0
HPG,2019,2,Sales deductions,-233718346934.0
HPG,2019,2,Gain/(loss) from joint ventures,0.0
HPG,2019,2,Other income,159805460096.0
HPG,2019,2,Net other income/expenses,10258567337.0
HPG,2019,2,Profit before tax,2479812592590.0
HPG,2019,2,Tax For the Year,-429796940820.0
HPG,2019,2,Business income tax - current,-445462416749.0
HPG,2019,2,Business income tax - deferred,15665475929.0
